,date,running_banner,type,wish,rarity,weapon,element,sex
326,2020-12-12,Gentry of Hermitage,weapon,Cool Steel,3,Sword,None,None
327,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
328,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
329,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
330,2020-12-12,Gentry of Hermitage,char,Xingqiu,4,Sword,Hydro,M
331,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
332,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
333,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
334,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
335,2020-12-12,Gentry of Hermitage,char,Razor,4,Claymore,Electro,M
336,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
337,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
338,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
339,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
340,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
341,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
342,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
343,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
344,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
345,2020-12-12,Gentry of Hermitage,char,Ningguang,4,Catalyst,Geo,F
346,2020-12-12,Gentry of Hermitage,weapon,Slingshot,3,Bow,None,None
347,2020-12-12,Gentry of Hermitage,weapon,Ferrous Shadow,3,Claymore,None,None
348,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
349,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
350,2020-12-12,Gentry of Hermitage,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
351,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
352,2020-12-12,Gentry of Hermitage,weapon,Emerald Orb,3,Catalyst,None,None
353,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
354,2020-12-12,Gentry of Hermitage,weapon,Bloodtainted Greatsword,3,Claymore,None,None
355,2020-12-12,Gentry of Hermitage,char,Razor,4,Claymore,Electro,M
356,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
357,2020-12-12,Gentry of Hermitage,weapon,Skyrider Sword,3,Sword,None,None
358,2020-12-12,Gentry of Hermitage,weapon,Black Tassel,3,Polearm,None,None
359,2020-12-12,Gentry of Hermitage,weapon,Raven Bow,3,Bow,None,None
360,2020-12-12,Gentry of Hermitage,weapon,Sharpshooter's Oath,3,Bow,None,None
361,2020-12-12,Gentry of Hermitage,weapon,Harbinger of Dawn,3,Sword,None,None
362,2020-12-12,Gentry of Hermitage,weapon,Magic Guide,3,Catalyst,None,None
363,2020-12-25,Secretum Secretorum,weapon,Skyrider Sword,3,Sword,None,None
364,2020-12-25,Secretum Secretorum,weapon,Sharpshooter's Oath,3,Bow,None,None
365,2020-12-25,Secretum Secretorum,char,Xingqiu,4,Sword,Hydro,M
366,2020-12-25,Secretum Secretorum,weapon,Harbinger of Dawn,3,Sword,None,None
367,2020-12-25,Secretum Secretorum,weapon,Black Tassel,3,Polearm,None,None
368,2020-12-25,Secretum Secretorum,char,Mona,5,Catalyst,Hydro,F
369,2020-12-25,Secretum Secretorum,weapon,Harbinger of Dawn,3,Sword,None,None
370,2020-12-25,Secretum Secretorum,weapon,Raven Bow,3,Bow,None,None
371,2020-12-25,Secretum Secretorum,weapon,Slingshot,3,Bow,None,None
372,2020-12-25,Secretum Secretorum,weapon,Raven Bow,3,Bow,None,None
373,2020-12-25,Secretum Secretorum,weapon,Skyrider Sword,3,Sword,None,None
374,2020-12-25,Secretum Secretorum,weapon,Ferrous Shadow,3,Claymore,None,None
375,2020-12-25,Secretum Secretorum,char,Fischl,4,Bow,Electro,F
376,2020-12-25,Secretum Secretorum,weapon,Debate Club,3,Claymore,None,None
377,2020-12-25,Secretum Secretorum,weapon,Bloodtainted Greatsword,3,Claymore,None,None
378,2020-12-25,Secretum Secretorum,weapon,Harbinger of Dawn,3,Sword,None,None
379,2020-12-25,Secretum Secretorum,weapon,Slingshot,3,Bow,None,None
380,2020-12-25,Secretum Secretorum,weapon,Slingshot,3,Bow,None,None
381,2020-12-25,Secretum Secretorum,weapon,Bloodtainted Greatsword,3,Claymore,None,None
382,2020-12-25,Secretum Secretorum,weapon,Skyrider Sword,3,Sword,None,None
383,2020-12-25,Secretum Secretorum,weapon,Black Tassel,3,Polearm,None,None
384,2020-12-25,Secretum Secretorum,weapon,Sharpshooter's Oath,3,Bow,None,None
385,2020-12-25,Secretum Secretorum,char,Bennett,4,Sword,Pyro,M
386,2020-12-25,Secretum Secretorum,weapon,Sharpshooter's Oath,3,Bow,None,None
387,2020-12-25,Secretum Secretorum,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
388,2020-12-25,Secretum Secretorum,weapon,Ferrous Shadow,3,Claymore,None,None
389,2020-12-25,Secretum Secretorum,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
390,2020-12-25,Secretum Secretorum,weapon,Debate Club,3,Claymore,None,None
391,2020-12-25,Secretum Secretorum,weapon,Debate Club,3,Claymore,None,None
392,2020-12-25,Secretum Secretorum,weapon,Black Tassel,3,Polearm,None,None
393,2020-12-25,Secretum Secretorum,char,Sucrose,4,Catalyst,Anemo,F
394,2020-12-25,Secretum Secretorum,weapon,Raven Bow,3,Bow,None,None
395,2020-12-25,Secretum Secretorum,weapon,Sharpshooter's Oath,3,Bow,None,None
396,2020-12-25,Secretum Secretorum,weapon,Emerald Orb,3,Catalyst,None,None
397,2020-12-25,Secretum Secretorum,weapon,Slingshot,3,Bow,None,None
398,2020-12-25,Secretum Secretorum,weapon,Cool Steel,3,Sword,None,None
399,2020-12-25,Secretum Secretorum,weapon,Harbinger of Dawn,3,Sword,None,None
400,2020-12-25,Secretum Secretorum,weapon,Harbinger of Dawn,3,Sword,None,None
401,2020-12-25,Secretum Secretorum,weapon,Cool Steel,3,Sword,None,None
402,2020-12-25,Secretum Secretorum,weapon,Magic Guide,3,Catalyst,None,None
403,2020-12-25,Secretum Secretorum,weapon,Sacrificial Fragments,4,Catalyst,None,None
404,2020-12-25,Secretum Secretorum,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
405,2020-12-25,Secretum Secretorum,weapon,Debate Club,3,Claymore,None,None
406,2020-12-25,Secretum Secretorum,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
407,2020-12-25,Secretum Secretorum,weapon,Skyrider Sword,3,Sword,None,None
408,2020-12-25,Secretum Secretorum,weapon,Magic Guide,3,Catalyst,None,None
409,2020-12-25,Secretum Secretorum,weapon,Harbinger of Dawn,3,Sword,None,None
410,2020-12-25,Secretum Secretorum,weapon,Magic Guide,3,Catalyst,None,None
411,2020-12-25,Secretum Secretorum,weapon,Cool Steel,3,Sword,None,None
412,2020-12-25,Secretum Secretorum,weapon,Emerald Orb,3,Catalyst,None,None
413,2020-12-25,Secretum Secretorum,char,Fischl,4,Bow,Electro,F
414,2020-12-25,Secretum Secretorum,weapon,Black Tassel,3,Polearm,None,None
415,2020-12-25,Secretum Secretorum,weapon,Skyrider Sword,3,Sword,None,None
416,2020-12-25,Secretum Secretorum,weapon,Ferrous Shadow,3,Claymore,None,None
417,2020-12-25,Secretum Secretorum,weapon,Slingshot,3,Bow,None,None
418,2020-12-25,Secretum Secretorum,weapon,Cool Steel,3,Sword,None,None
419,2020-12-25,Secretum Secretorum,weapon,Skyrider Sword,3,Sword,None,None
420,2020-12-25,Secretum Secretorum,weapon,Black Tassel,3,Polearm,None,None
421,2020-12-25,Secretum Secretorum,weapon,Raven Bow,3,Bow,None,None
422,2020-12-25,Secretum Secretorum,weapon,Bloodtainted Greatsword,3,Claymore,None,None
423,2020-12-25,Secretum Secretorum,char,Albedo,5,Sword,Geo,M
424,2020-12-25,Secretum Secretorum,weapon,Sacrificial Fragments,4,Catalyst,None,None
425,2020-12-25,Secretum Secretorum,char,Albedo,5,Sword,Geo,M
426,2020-12-25,Secretum Secretorum,weapon,Debate Club,3,Claymore,None,None
427,2020-12-25,Secretum Secretorum,weapon,Magic Guide,3,Catalyst,None,None
428,2020-12-25,Secretum Secretorum,weapon,Slingshot,3,Bow,None,None
429,2020-12-25,Secretum Secretorum,weapon,Sharpshooter's Oath,3,Bow,None,None
430,2020-12-25,Secretum Secretorum,weapon,Skyrider Sword,3,Sword,None,None
431,2020-12-25,Secretum Secretorum,char,Sucrose,4,Catalyst,Anemo,F
432,2020-12-25,Secretum Secretorum,weapon,Skyrider Sword,3,Sword,None,None
433,2020-12-25,Secretum Secretorum,weapon,Ferrous Shadow,3,Claymore,None,None
434,2020-12-25,Secretum Secretorum,weapon,Magic Guide,3,Catalyst,None,None
435,2020-12-25,Secretum Secretorum,weapon,Raven Bow,3,Bow,None,None
436,2020-12-25,Secretum Secretorum,weapon,Slingshot,3,Bow,None,None
437,2021-01-12,Adrift in the Harbor,weapon,Slingshot,3,Bow,None,None
438,2021-01-12,Adrift in the Harbor,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
439,2021-01-12,Adrift in the Harbor,weapon,Sharpshooter's Oath,3,Bow,None,None
440,2021-01-12,Adrift in the Harbor,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
441,2021-01-12,Adrift in the Harbor,char,Xiangling,4,Polearm,Pyro,F
442,2021-01-12,Adrift in the Harbor,weapon,Slingshot,3,Bow,None,None
443,2021-01-12,Adrift in the Harbor,weapon,Bloodtainted Greatsword,3,Claymore,None,None
444,2021-01-12,Adrift in the Harbor,weapon,Slingshot,3,Bow,None,None
445,2021-01-12,Adrift in the Harbor,weapon,Harbinger of Dawn,3,Sword,None,None
446,2021-01-12,Adrift in the Harbor,weapon,Black Tassel,3,Polearm,None,None
447,2021-01-12,Adrift in the Harbor,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
448,2021-01-12,Adrift in the Harbor,weapon,Debate Club,3,Claymore,None,None
449,2021-01-12,Adrift in the Harbor,weapon,Debate Club,3,Claymore,None,None
450,2021-01-12,Adrift in the Harbor,weapon,Sharpshooter's Oath,3,Bow,None,None
451,2021-01-12,Adrift in the Harbor,char,Beidou,4,Claymore,Electro,F
452,2021-01-12,Adrift in the Harbor,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
453,2021-01-12,Adrift in the Harbor,weapon,Emerald Orb,3,Catalyst,None,None
454,2021-01-12,Adrift in the Harbor,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
455,2021-01-12,Adrift in the Harbor,weapon,Raven Bow,3,Bow,None,None
456,2021-01-12,Adrift in the Harbor,weapon,Cool Steel,3,Sword,None,None
457,2021-01-12,Adrift in the Harbor,weapon,Harbinger of Dawn,3,Sword,None,None
458,2021-01-12,Adrift in the Harbor,weapon,Magic Guide,3,Catalyst,None,None
459,2021-01-12,Adrift in the Harbor,weapon,Black Tassel,3,Polearm,None,None
460,2021-01-12,Adrift in the Harbor,weapon,Black Tassel,3,Polearm,None,None
461,2021-01-12,Adrift in the Harbor,char,Noelle,4,Claymore,Geo,F
462,2021-01-12,Adrift in the Harbor,weapon,Sharpshooter's Oath,3,Bow,None,None
463,2021-01-12,Adrift in the Harbor,weapon,Slingshot,3,Bow,None,None
464,2021-01-12,Adrift in the Harbor,weapon,Sharpshooter's Oath,3,Bow,None,None
465,2021-01-12,Adrift in the Harbor,weapon,Bloodtainted Greatsword,3,Claymore,None,None
466,2021-01-12,Adrift in the Harbor,weapon,Harbinger of Dawn,3,Sword,None,None
467,2021-01-12,Adrift in the Harbor,weapon,Sharpshooter's Oath,3,Bow,None,None
468,2021-01-12,Adrift in the Harbor,char,Ganyu,5,Bow,Cryo,F
469,2021-01-12,Adrift in the Harbor,weapon,Skyrider Sword,3,Sword,None,None
470,2021-01-12,Adrift in the Harbor,weapon,Slingshot,3,Bow,None,None
471,2021-01-12,Adrift in the Harbor,weapon,Rainslasher,4,Claymore,None,None
472,2021-01-12,Adrift in the Harbor,weapon,Magic Guide,3,Catalyst,None,None
473,2021-01-12,Adrift in the Harbor,weapon,Magic Guide,3,Catalyst,None,None
474,2021-01-12,Adrift in the Harbor,weapon,Slingshot,3,Bow,None,None
475,2021-01-12,Adrift in the Harbor,weapon,Magic Guide,3,Catalyst,None,None
476,2021-01-12,Adrift in the Harbor,weapon,Black Tassel,3,Polearm,None,None
477,2021-01-12,Adrift in the Harbor,weapon,Cool Steel,3,Sword,None,None
478,2021-01-12,Adrift in the Harbor,weapon,Bloodtainted Greatsword,3,Claymore,None,None
479,2021-01-12,Adrift in the Harbor,weapon,Slingshot,3,Bow,None,None
480,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
481,2021-02-07,Invitation to Mundane Life,char,Diona,4,Bow,Cryo,F
482,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
483,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
484,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
485,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
486,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
487,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
488,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
489,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
490,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
491,2021-02-07,Invitation to Mundane Life,char,Beidou,4,Claymore,Electro,F
492,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
493,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
494,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
495,2021-02-07,Invitation to Mundane Life,weapon,Harbinger of Dawn,3,Sword,None,None
496,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
497,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
498,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
499,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
500,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
501,2021-02-07,Invitation to Mundane Life,char,Razor,4,Claymore,Electro,M
502,2021-02-07,Invitation to Mundane Life,weapon,Slingshot,3,Bow,None,None
503,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
504,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
505,2021-02-07,Invitation to Mundane Life,weapon,Black Tassel,3,Polearm,None,None
506,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
507,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
508,2021-02-07,Invitation to Mundane Life,weapon,Black Tassel,3,Polearm,None,None
509,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
510,2021-02-07,Invitation to Mundane Life,char,Xinyan,4,Claymore,Pyro,F
511,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
512,2021-02-07,Invitation to Mundane Life,weapon,Harbinger of Dawn,3,Sword,None,None
513,2021-02-07,Invitation to Mundane Life,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
514,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
515,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
516,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
517,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
518,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
519,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
520,2021-02-07,Invitation to Mundane Life,weapon,Favonius Warbow,4,Bow,None,None
521,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
522,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
523,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
524,2021-02-07,Invitation to Mundane Life,weapon,Black Tassel,3,Polearm,None,None
525,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
526,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
527,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
528,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
529,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
530,2021-02-07,Invitation to Mundane Life,char,Beidou,4,Claymore,Electro,F
531,2021-02-07,Invitation to Mundane Life,weapon,Slingshot,3,Bow,None,None
532,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
533,2021-02-07,Invitation to Mundane Life,weapon,Debate Club,3,Claymore,None,None
534,2021-02-07,Invitation to Mundane Life,weapon,Harbinger of Dawn,3,Sword,None,None
535,2021-02-07,Invitation to Mundane Life,weapon,Slingshot,3,Bow,None,None
536,2021-02-07,Invitation to Mundane Life,char,Sucrose,4,Catalyst,Anemo,F
537,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
538,2021-02-07,Invitation to Mundane Life,weapon,Harbinger of Dawn,3,Sword,None,None
539,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
540,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
541,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
542,2021-02-07,Invitation to Mundane Life,weapon,Black Tassel,3,Polearm,None,None
543,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
544,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
545,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
546,2021-02-07,Invitation to Mundane Life,char,Diona,4,Bow,Cryo,F
547,2021-02-07,Invitation to Mundane Life,weapon,Black Tassel,3,Polearm,None,None
548,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
549,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
550,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
551,2021-02-07,Invitation to Mundane Life,weapon,Slingshot,3,Bow,None,None
552,2021-02-07,Invitation to Mundane Life,weapon,Black Tassel,3,Polearm,None,None
553,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
554,2021-02-07,Invitation to Mundane Life,weapon,Harbinger of Dawn,3,Sword,None,None
555,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
556,2021-02-07,Invitation to Mundane Life,weapon,Sacrificial Bow,4,Bow,None,None
557,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
558,2021-02-07,Invitation to Mundane Life,char,Xiao,5,Polearm,Anemo,M
559,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
560,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
561,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
562,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
563,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
564,2021-02-07,Invitation to Mundane Life,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
565,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
566,2021-02-07,Invitation to Mundane Life,char,Beidou,4,Claymore,Electro,F
567,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
568,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
569,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
570,2021-02-07,Invitation to Mundane Life,weapon,Debate Club,3,Claymore,None,None
571,2021-02-07,Invitation to Mundane Life,weapon,Debate Club,3,Claymore,None,None
572,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
573,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
574,2021-02-07,Invitation to Mundane Life,weapon,Slingshot,3,Bow,None,None
575,2021-02-07,Invitation to Mundane Life,weapon,Debate Club,3,Claymore,None,None
576,2021-02-07,Invitation to Mundane Life,char,Chongyun,4,Claymore,Cryo,M
577,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
578,2021-02-07,Invitation to Mundane Life,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
579,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
580,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
581,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
582,2021-02-07,Invitation to Mundane Life,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
583,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
584,2021-02-07,Invitation to Mundane Life,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
585,2021-02-07,Invitation to Mundane Life,weapon,Emerald Orb,3,Catalyst,None,None
586,2021-02-07,Invitation to Mundane Life,char,Beidou,4,Claymore,Electro,F
587,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
588,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
589,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
590,2021-02-07,Invitation to Mundane Life,weapon,Ferrous Shadow,3,Claymore,None,None
591,2021-02-07,Invitation to Mundane Life,weapon,Harbinger of Dawn,3,Sword,None,None
592,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
593,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
594,2021-02-07,Invitation to Mundane Life,weapon,Harbinger of Dawn,3,Sword,None,None
595,2021-02-07,Invitation to Mundane Life,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
596,2021-02-07,Invitation to Mundane Life,char,Xinyan,4,Claymore,Pyro,F
597,2021-02-07,Invitation to Mundane Life,weapon,Harbinger of Dawn,3,Sword,None,None
598,2021-02-07,Invitation to Mundane Life,char,Beidou,4,Claymore,Electro,F
599,2021-02-07,Invitation to Mundane Life,weapon,Black Tassel,3,Polearm,None,None
600,2021-02-07,Invitation to Mundane Life,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
601,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
602,2021-02-07,Invitation to Mundane Life,weapon,Cool Steel,3,Sword,None,None
603,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
604,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
605,2021-02-07,Invitation to Mundane Life,weapon,Magic Guide,3,Catalyst,None,None
606,2021-02-07,Invitation to Mundane Life,weapon,Slingshot,3,Bow,None,None
607,2021-02-07,Invitation to Mundane Life,weapon,Slingshot,3,Bow,None,None
608,2021-02-07,Invitation to Mundane Life,char,Beidou,4,Claymore,Electro,F
609,2021-02-07,Invitation to Mundane Life,weapon,Bloodtainted Greatsword,3,Claymore,None,None
610,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
611,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
612,2021-02-07,Invitation to Mundane Life,weapon,Raven Bow,3,Bow,None,None
613,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
614,2021-02-07,Invitation to Mundane Life,char,Xiao,5,Polearm,Anemo,M
615,2021-02-07,Invitation to Mundane Life,weapon,Skyrider Sword,3,Sword,None,None
616,2021-02-07,Invitation to Mundane Life,char,Beidou,4,Claymore,Electro,F
617,2021-02-07,Invitation to Mundane Life,weapon,Sharpshooter's Oath,3,Bow,None,None
618,2021-02-18,Dance of Lanterns,weapon,Slingshot,3,Bow,None,None
619,2021-02-18,Dance of Lanterns,weapon,Skyrider Sword,3,Sword,None,None
620,2021-02-18,Dance of Lanterns,weapon,Magic Guide,3,Catalyst,None,None
621,2021-02-18,Dance of Lanterns,weapon,Magic Guide,3,Catalyst,None,None
622,2021-02-18,Dance of Lanterns,weapon,Sharpshooter's Oath,3,Bow,None,None
623,2021-02-18,Dance of Lanterns,weapon,Cool Steel,3,Sword,None,None
624,2021-02-18,Dance of Lanterns,weapon,Raven Bow,3,Bow,None,None
625,2021-02-18,Dance of Lanterns,char,Keqing,5,Sword,Electro,F
626,2021-02-18,Dance of Lanterns,char,Barbara,4,Catalyst,Hydro,F
627,2021-02-18,Dance of Lanterns,weapon,Slingshot,3,Bow,None,None
628,2021-02-18,Dance of Lanterns,weapon,Debate Club,3,Claymore,None,None
629,2021-02-18,Dance of Lanterns,weapon,Black Tassel,3,Polearm,None,None
630,2021-02-18,Dance of Lanterns,weapon,Cool Steel,3,Sword,None,None
631,2021-02-18,Dance of Lanterns,weapon,Slingshot,3,Bow,None,None
632,2021-02-18,Dance of Lanterns,weapon,Skyrider Sword,3,Sword,None,None
633,2021-02-18,Dance of Lanterns,weapon,Harbinger of Dawn,3,Sword,None,None
634,2021-02-18,Dance of Lanterns,weapon,Thrilling Tales of Dragon Slayers,3,Catalyst,None,None
635,2021-02-18,Dance of Lanterns,weapon,Black Tassel,3,Polearm,None,None
636,2021-02-18,Dance of Lanterns,weapon,Favonius Codex,4,Catalyst,None,None
637,2021-02-18,Dance of Lanterns,weapon,Sharpshooter's Oath,3,Bow,None,None
638,2021-03-12,Moment of Bloom,weapon,Skyrider Sword,3,Sword,None,None
639,2021-03-12,Moment of Bloom,weapon,Emerald Orb,3,Catalyst,None,None
640,2021-03-12,Moment of Bloom,weapon,Cool Steel,3,Sword,None,None
641,2021-03-12,Moment of Bloom,weapon,Bloodtainted Greatsword,3,Claymore,None,None
642,2021-03-12,Moment of Bloom,weapon,Bloodtainted Greatsword,3,Claymore,None,None
643,2021-03-12,Moment of Bloom,weapon,Cool Steel,3,Sword,None,None
644,2021-03-12,Moment of Bloom,weapon,Sharpshooter's Oath,3,Bow,None,None
